revision,platform,input,mode,label,color,MS-SSIM,Delta E00_mean,Delta Chroma_mean,PSNR_Y,encoded_bytes,encoded_sha256,decoded_png_sha256,command
24e46743fd78167db78ca9d72754e50b6a834947,macOS-26.5.1-arm64-arm-64bit,images/snake.png,fixed256,fixed 256-color,#0072B2,0.9861,2.403138,1.749753,37.637573,247009,9a70bba4f755dad349c55f23ec11d2bd246f084f83dbb4f366e5eb2da11cde7b,6546e867a4b39246142542f634aa46f1ad3ccc987f61e9419bec0c9f5c39f465,'$BUILD_DIR/converters/img2sixel' --threads=1 --precision=8bit --quality=high '--loaders=builtin!' --diffusion=none --gpu-policy=off --palette-type=rgb --encode-policy fast -p 256 -o - '$TOP_SRCDIR/images/snake.png'
24e46743fd78167db78ca9d72754e50b6a834947,macOS-26.5.1-arm64-arm-64bit,images/snake.png,high15,high color (15bpp),#D55E00,0.989064,1.75277,1.355781,41.390858,675644,be50f5cea2d2ff9e23565de0743b79661aed0c1f85518e1c1e54fb7ca728f44b,c3be324a7188245388b682b216fd98a4b1f2c29f70ab355a2a05f4df73c78857,'$BUILD_DIR/converters/img2sixel' --threads=1 --precision=8bit --quality=high '--loaders=builtin!' --diffusion=none --gpu-policy=off --palette-type=rgb --encode-policy fast -I -o - '$TOP_SRCDIR/images/snake.png'
