image,colors,threads,defined_colors,normal_bytes,or_bytes,size_ratio,encode_normal_ms,encode_or_ms,decode_rgba_normal_ms,decode_rgba_or_ms,decode_indexed_normal_ms,decode_indexed_or_ms,decode_cli_normal_ms,decode_cli_or_ms,encode_cli_speedup,decode_rgba_speedup,decode_indexed_speedup,decode_cli_speedup,msssim,deltae
map16,256,12,16,950,1206,1.2694736842105263,9.288082999773906,9.386999998241663,0.11699999999999999,0.118,0.174,0.187,7.9281660000560805,7.8416660016955575,0.9894623416974234,0.9915254237288136,0.93048128342246,1.011030819004765,0.987934,0.574689
map16,256,11,16,950,1206,1.2694736842105263,10.363625000536558,9.862500000963337,0.111,0.114,0.161,0.17200000000000001,7.87299999865354,7.816875000571599,1.050811153310446,0.9736842105263157,0.936046511627907,1.0071799789657423,0.987934,0.574689
map16,256,10,16,950,1206,1.2694736842105263,9.76483299928077,9.797875000003842,0.101,0.10500000000000001,0.161,0.179,7.83358399894496,7.832082999811973,0.9966276360207639,0.9619047619047619,0.899441340782123,1.0001916475008017,0.987934,0.574689
map16,256,9,16,950,1206,1.2694736842105263,9.533000000374159,10.154375000638538,0.097,0.101,0.15100000000000002,0.164,7.863249998990796,7.798832999469596,0.9388071643773934,0.9603960396039604,0.9207317073170732,1.0082598254797328,0.987934,0.574689
map16,256,8,16,950,1206,1.2694736842105263,10.064457999760634,9.978541998862056,0.089,0.22699999999999998,0.16699999999999998,0.332,7.8401249993476085,8.06620900038979,1.0086100755910408,0.3920704845814978,0.5030120481927711,0.9719714675095504,0.987934,0.574689
map16,256,7,16,950,1206,1.2694736842105263,9.409875001438195,9.807333999560797,0.203,0.22599999999999998,0.264,0.252,8.074875000602333,8.05666599990218,0.9594732882411875,0.8982300884955753,1.0476190476190477,1.0022601161200395,0.987934,0.574689
map16,256,6,16,950,1206,1.2694736842105263,10.047334000773844,9.664791999966837,0.159,0.16799999999999998,0.216,0.217,8.130584001264651,8.11358300052234,1.0395809864100871,0.9464285714285714,0.9953917050691244,1.0020953752172397,0.987934,0.574689
map16,256,5,16,950,1206,1.2694736842105263,9.822415999224177,9.644165998906828,0.12999999999999998,0.13999999999999999,0.191,0.196,7.908083000074839,7.961833000081242,1.0184826765048998,0.9285714285714286,0.9744897959183674,0.9932490420226279,0.987934,0.574689
map16,256,4,16,950,1206,1.2694736842105263,9.551457998895785,9.698167001261027,0.092,0.10900000000000001,0.16699999999999998,0.164,7.803832999343285,7.8839159996277886,0.9848725019535995,0.8440366972477064,1.0182926829268293,0.989842230651838,0.987934,0.574689
map16,256,3,16,950,1206,1.2694736842105263,9.488834000876523,9.30316699850664,0.087,0.102,0.159,0.16,7.805582999935723,7.7431249992514495,1.0199573975614633,0.8529411764705882,0.9937499999999998,1.0080662524097586,0.987934,0.574689
map16,256,2,16,950,1206,1.2694736842105263,9.550958000545506,9.235499999704189,0.07200000000000001,0.087,0.133,0.13699999999999998,7.8091249997669365,7.908292000138317,1.034157111239394,0.8275862068965517,0.9708029197080292,0.9874603769853659,0.987934,0.574689
smooth-gradient-600x450,256,2,256,117632,238624,2.0285636561479867,51.913666999098496,51.843834000464994,1.9680000000000002,5.543,1.9580000000000002,5.388999999999999,27.36949999962235,30.93224999975064,1.0013469875440322,0.3550423958145409,0.36333271478938584,0.8848208584840414,0.965049,2.890389
smooth-gradient-600x450,256,3,256,117632,238624,2.0285636561479867,50.74370900001668,50.57195799963665,1.426,4.002999999999999,1.433,3.8240000000000003,26.880208000875427,29.46558299845492,1.003396170667967,0.3562328253809643,0.3747384937238494,0.9122578026806711,0.965049,2.890389
smooth-gradient-600x450,256,4,256,117390,238509,2.0317659085100948,31.629000000975793,31.816707998586935,1.1620000000000001,3.211,1.1969999999999998,3.076,26.644625000699307,28.638499999942724,0.9941003325165043,0.3618810339458113,0.3891417425227568,0.930377813110065,0.965038,2.889194
smooth-gradient-600x450,256,5,256,117053,238269,2.0355650859012586,26.59887499976321,26.884875000178,1.0219999999999998,2.71,1.042,2.536,26.54833300039172,28.09083399915835,0.9893620483482667,0.3771217712177121,0.4108832807570978,0.9450888144220694,0.965156,2.886045
smooth-gradient-600x450,256,6,256,117228,238435,2.033942402838912,23.78441600012593,23.563292001199443,0.92,2.3600000000000003,0.962,2.215,26.425291998748435,27.881166999577545,1.009384257467727,0.3898305084745763,0.4343115124153499,0.9477828528177759,0.965103,2.884722
smooth-gradient-600x450,256,7,256,116618,237738,2.0386046750930387,21.934667000095942,22.00483300111955,0.873,2.176,0.9,1.971,26.48770799896738,28.24312499978987,0.9968113368085985,0.40119485294117646,0.45662100456621,0.937846219183056,0.964949,2.87964
smooth-gradient-600x450,256,8,256,117015,237989,2.0338332692389867,20.472708998568123,20.12924999871757,0.833,2.033,0.868,1.871,26.700291999077308,28.323374999672524,1.0170626824085565,0.4097393015248401,0.4639230358097274,0.9426945764544663,0.965097,2.881129
smooth-gradient-600x450,256,9,256,116817,237544,2.033471155739319,19.929125000999193,20.161082999038626,0.809,1.9220000000000002,0.847,1.717,26.556750000963802,28.27683400028036,0.9884947649860628,0.4209157127991675,0.49330227140361094,0.9391698519254489,0.964976,2.878376
smooth-gradient-600x450,256,10,256,116817,237544,2.033471155739319,19.80958300009661,19.89641699947242,0.815,1.8190000000000002,0.868,1.673,26.58174999851326,28.211250000822474,0.995635696649396,0.44804837822979654,0.5188284518828452,0.9422393547871254,0.964976,2.878376
