revision,platform,input,colors,method,diffusion_option,MS-SSIM,Delta E00_mean,command
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,atkinson,atkinson:scan=raster,0.993364,1.943837,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=atkinson:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,jajuni,jajuni:scan=raster,0.991119,2.132444,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=jajuni:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,stucki,stucki:scan=raster,0.993065,1.979895,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=stucki:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,burkes,burkes:scan=raster,0.991947,2.180376,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=burkes:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,sierra1,sierra:variant=1:scan=raster,0.991948,2.272839,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=1:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,sierra2,sierra:variant=2:scan=raster,0.993128,1.919964,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=2:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,sierra3,sierra:variant=3:scan=raster,0.991229,2.143178,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=sierra:variant=3:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,lso2,lso2:scan=raster,0.993466,2.078782,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=lso2:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,a_dither,a_dither:strength=0.150:scan=raster,0.992143,2.228722,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=a_dither:strength=0.150:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,x_dither,x_dither:strength=0.100:scan=raster,0.992511,2.036721,{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=x_dither:strength=0.100:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}
453c72e0d702e84dfe01433e9ec7adf4f866dc65,macOS-26.5.1-arm64-arm-64bit-Mach-O,images/snake.png,256,bluenoise,"bluenoise:strength=0.055:gradient_factor=0:phase=0,0:channel=mono:size=64:scan=raster",0.9929,1.884354,"{img2sixel} --threads=1 --precision=8bit --quality=full '--loaders=libpng!' --quantize-model=kmeans:merge=ward:seed=1 -Xoklab -Wgamma --diffusion=bluenoise:strength=0.055:gradient_factor=0:phase=0,0:channel=mono:size=64:scan=raster --gpu-policy=off --lookup-policy=none -p 256 {input}"
