policy,simd_requested,simd_effective,sixel_bytes,output_sha256,command
preserve,scalar,0,92802,a924a410b053268507a2619ff2134d515e237f8dcff318adbee7606545031e35,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=preserve -o '{output}' '{input}'
preserve,auto,3,92802,a924a410b053268507a2619ff2134d515e237f8dcff318adbee7606545031e35,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=preserve -o '{output}' '{input}'
linear,scalar,0,90197,96d3300ed22b3a9feb747aed0069ade1a962f8e1e16020be3e851c7f8d416f5f,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{input}'
linear,auto,3,90197,96d3300ed22b3a9feb747aed0069ade1a962f8e1e16020be3e851c7f8d416f5f,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=linear -o '{output}' '{input}'
float,scalar,0,88671,f0aeec846ce76a03496ab6424eab02401e79eb99fdf93b86fadb8c4e614f2696,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jscalar:resize_precision=float -o '{output}' '{input}'
float,auto,3,88055,4840258b7c18a59b3fdcac49efce95c468f361bee099097ba8e721f18bf3ce24,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w300 -h225 -rbilinear -jauto:resize_precision=float -o '{output}' '{input}'
