policy,simd_requested,simd_effective,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms,samples_ms,command
preserve,scalar,0,203.677208,203.471666,203.966333,203.170917,204.528291,204.001959;203.548250;203.962375;203.471666;204.528291;203.966333;203.170917;203.677208;203.221458,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jscalar:resize_precision=preserve -o '{output}' '{speed_input}'
preserve,auto,3,194.255459,193.539167,197.200916,193.406709,198.302625,193.859625;194.255459;193.406709;193.539167;197.200916;194.641834;197.551750;193.493708;198.302625,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jauto:resize_precision=preserve -o '{output}' '{speed_input}'
linear,scalar,0,312.905125,311.607750,318.151583,309.679375,318.367667,309.679375;318.220375;318.367667;311.607750;317.537792;312.011500;312.905125;310.515417;318.151583,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jscalar:resize_precision=linear -o '{output}' '{speed_input}'
linear,auto,3,301.921208,301.771625,302.310458,301.368625,309.188750,309.188750;301.921208;302.310458;301.712167;301.820709;302.385917;302.288250;301.771625;301.368625,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jauto:resize_precision=linear -o '{output}' '{speed_input}'
float,scalar,0,374.316292,373.110042,379.546666,372.286583,382.104125,382.104125;373.110042;373.790125;374.316292;380.081334;374.701792;372.543708;379.546666;372.286583,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jscalar:resize_precision=float -o '{output}' '{speed_input}'
float,auto,3,367.041459,366.579709,367.328416,366.037958,374.310583,366.037958;367.041459;368.070042;366.525167;366.579709;367.328416;367.126000;366.634209;374.310583,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma -Ugamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb --encode-policy=fast -p256 -w600 -h450 -rbilinear -jauto:resize_precision=float -o '{output}' '{speed_input}'
