revision,fixture,width,height,pixels,sixel_bytes,sixel_sha256,threads,round,phase,sample,traversal,schedule_position,scan_start_count,scan_finish_count,paint_ready_count,paint_start_count,paint_finish_count,decoder_abort_count,observed_path,barrier_ordered,paint_spans_overlap,decoder_wall_seconds,scan_wall_seconds,paint_wall_seconds,png_wall_seconds,total_wall_seconds,command
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,13,1,warmup,1,ascending,13,13,13,13,13,13,0,parallel-direct,yes,yes,0.00589,0.0024990000000000004,0.002873,0.065992,0.071969,'{sixel2png}' --threads=13 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,14,1,warmup,1,ascending,14,14,14,14,14,14,0,parallel-direct,yes,yes,0.00585,0.002407,0.0028659999999999996,0.067626,0.073573,'{sixel2png}' --threads=14 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,15,1,warmup,1,ascending,15,15,15,15,15,15,0,parallel-direct,yes,yes,0.006047,0.002401,0.003034,0.065824,0.071951,'{sixel2png}' --threads=15 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,16,1,warmup,1,ascending,16,16,16,16,16,16,0,parallel-direct,yes,yes,0.006184,0.0025559999999999997,0.002952,0.065856,0.072138,'{sixel2png}' --threads=16 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,16,2,warmup,2,descending,1,16,16,16,16,16,0,parallel-direct,yes,yes,0.006164,0.002569,0.0029360000000000002,0.065919,0.072186,'{sixel2png}' --threads=16 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,15,2,warmup,2,descending,2,15,15,15,15,15,0,parallel-direct,yes,yes,0.006313,0.002678,0.0030389999999999996,0.067454,0.073868,'{sixel2png}' --threads=15 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,14,2,warmup,2,descending,3,14,14,14,14,14,0,parallel-direct,yes,yes,0.006321,0.002682,0.003098,0.065987,0.072414,'{sixel2png}' --threads=14 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,13,2,warmup,2,descending,4,13,13,13,13,13,0,parallel-direct,yes,yes,0.006128,0.0025529999999999997,0.002974,0.06588999999999999,0.07212299999999999,'{sixel2png}' --threads=13 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,12,2,warmup,2,descending,5,12,12,12,12,12,0,parallel-direct,yes,yes,0.006096,0.002581,0.003046,0.065919,0.07209600000000001,'{sixel2png}' --threads=12 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,11,2,warmup,2,descending,6,11,11,11,11,11,0,parallel-direct,yes,yes,0.006027,0.0026509999999999997,0.0029850000000000002,0.06735400000000001,0.07347100000000001,'{sixel2png}' --threads=11 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,10,2,warmup,2,descending,7,10,10,10,10,10,0,parallel-direct,yes,yes,0.005241,0.0021650000000000003,0.0026969999999999997,0.06574600000000001,0.07109900000000001,'{sixel2png}' --threads=10 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,9,2,warmup,2,descending,8,9,9,9,9,9,0,parallel-direct,yes,yes,0.005520000000000001,0.002298,0.0028489999999999995,0.06765399999999999,0.073254,'{sixel2png}' --threads=9 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,8,2,warmup,2,descending,9,8,8,8,8,8,0,parallel-direct,yes,yes,0.0060940000000000005,0.002556,0.0031569999999999997,0.06731400000000001,0.07350100000000001,'{sixel2png}' --threads=8 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,7,2,warmup,2,descending,10,7,7,7,7,7,0,parallel-direct,yes,yes,0.006571,0.002812,0.0034219999999999997,0.066036,0.07269500000000001,'{sixel2png}' --threads=7 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,6,2,warmup,2,descending,11,6,6,6,6,6,0,parallel-direct,yes,yes,0.007464,0.0031219999999999998,0.003997,0.065835,0.07338,'{sixel2png}' --threads=6 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,5,2,warmup,2,descending,12,5,5,5,5,5,0,parallel-direct,yes,yes,0.008579,0.003626,0.0046749999999999995,0.065692,0.074365,'{sixel2png}' --threads=5 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,4,2,warmup,2,descending,13,4,4,4,4,4,0,parallel-direct,yes,yes,0.010218,0.004334,0.005643,0.06576499999999999,0.07607399999999999,'{sixel2png}' --threads=4 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,3,2,warmup,2,descending,14,3,3,3,3,3,0,parallel-direct,yes,yes,0.012968,0.005479,0.007253000000000001,0.065777,0.07882800000000001,'{sixel2png}' --threads=3 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,2,2,warmup,2,descending,15,2,2,2,2,2,0,parallel-direct,yes,yes,0.018288,0.00772,0.010318999999999998,0.067239,0.085608,'{sixel2png}' --threads=2 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,1,2,warmup,2,descending,16,0,0,0,0,0,0,serial,not-applicable,not-applicable,0.016145,,,0.066727,0.08298399999999999,'{sixel2png}' --threads=1 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,1,3,timed,1,ascending,1,0,0,0,0,0,0,serial,not-applicable,not-applicable,0.015489999999999999,,,0.065828,0.081409,'{sixel2png}' --threads=1 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,2,3,timed,1,ascending,2,2,2,2,2,2,0,parallel-direct,yes,yes,0.018342999999999998,0.0077729999999999995,0.010296000000000001,0.06562,0.084042,'{sixel2png}' --threads=2 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,3,3,timed,1,ascending,3,3,3,3,3,3,0,parallel-direct,yes,yes,0.013035999999999999,0.005534,0.007274999999999999,0.065747,0.078875,'{sixel2png}' --threads=3 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,4,3,timed,1,ascending,4,4,4,4,4,4,0,parallel-direct,yes,yes,0.010216,0.004344,0.005626,0.065646,0.075943,'{sixel2png}' --threads=4 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,5,3,timed,1,ascending,5,5,5,5,5,5,0,parallel-direct,yes,yes,0.008586,0.0036379999999999997,0.004671000000000001,0.06579800000000001,0.074481,'{sixel2png}' --threads=5 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,6,3,timed,1,ascending,6,6,6,6,6,6,0,parallel-direct,yes,yes,0.008067,0.003672,0.003986999999999999,0.06580499999999999,0.073957,'{sixel2png}' --threads=6 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,7,3,timed,1,ascending,7,7,7,7,7,7,0,parallel-direct,yes,yes,0.006496999999999999,0.002778,0.0034000000000000002,0.065679,0.072258,'{sixel2png}' --threads=7 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,8,3,timed,1,ascending,8,8,8,8,8,8,0,parallel-direct,yes,yes,0.006136,0.0025640000000000003,0.003226,0.06579399999999999,0.072014,'{sixel2png}' --threads=8 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,9,3,timed,1,ascending,9,9,9,9,9,9,0,parallel-direct,yes,yes,0.005571,0.002308,0.002847,0.067174,0.072845,'{sixel2png}' --threads=9 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,10,3,timed,1,ascending,10,10,10,10,10,10,0,parallel-direct,yes,yes,0.005189,0.0021390000000000003,0.002684,0.067157,0.07246799999999999,'{sixel2png}' --threads=10 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,11,3,timed,1,ascending,11,11,11,11,11,11,0,parallel-direct,yes,yes,0.005851,0.0026449999999999998,0.002688,0.065698,0.071662,'{sixel2png}' --threads=11 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,12,3,timed,1,ascending,12,12,12,12,12,12,0,parallel-direct,yes,yes,0.005899000000000001,0.0026000000000000003,0.00285,0.067241,0.073236,'{sixel2png}' --threads=12 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,13,3,timed,1,ascending,13,13,13,13,13,13,0,parallel-direct,yes,yes,0.005854,0.0023959999999999997,0.002925,0.06593900000000001,0.071873,'{sixel2png}' --threads=13 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
aa280da3fb49fead8690094901a6eaf232fa100f,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,14,3,timed,1,ascending,14,14,14,14,14,14,0,parallel-direct,yes,yes,0.005664,0.002371,0.0028010000000000005,0.065851,0.07160000000000001,'{sixel2png}' --threads=14 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
