revision,fixture,width,height,pixels,sixel_bytes,sixel_sha256,scan_wall_seconds,paint_wall_seconds,decoder_wall_seconds,png_wall_seconds,total_wall_seconds,scan_fraction_of_decoder,paint_fraction_of_decoder,command
e7d60633e63ae85763ae38c702442b89cf4bb130,900x675,900,675,607500,334858,7bcae678ecb57a196de2afe523e0a81505ba06df3d5f366f7457b61db745092e,0.000838,0.000946,0.002004,0.018211,0.020303,0.41816367265469057,0.4720558882235529,'{sixel2png}' --threads=8 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
e7d60633e63ae85763ae38c702442b89cf4bb130,1920x1080,1920,1080,2073600,1114189,0dee79433e5fb73e188ea6579751b04036cca248fbb9e01b02391a85b7974486,0.002562,0.0032410000000000004,0.006174,0.066034,0.072296,0.41496598639455784,0.5249433106575965,'{sixel2png}' --threads=8 --gpu-policy=off -J '{log}' -i '{decoder_sixel}' -o '{null}'
