name,colors,threads,normal_bytes,or_bytes,size_ratio,normal_ms,or_ms,cli_speedup,indexed_speedup,changed_pixels,alpha_changed_pixels,normal_msssim,or_msssim,normal_deltae,or_deltae
picsum-0-p256-t1,256,1,461755,391982,0.848896059598705,56.157625000196276,47.76349999883678,1.1757435071040423,4.9460227272727275,0,0,0.871313,0.871313,1.792637,1.792637
picsum-1-p256-t1,256,1,415498,478109,1.1506890526548865,66.19070800115878,59.44887500118057,1.1134055606576967,3.6633333333333336,0,0,0.930492,0.930492,3.553081,3.553081
picsum-2-p256-t1,256,1,484987,457982,0.9443180951241992,64.36079099876224,52.79670799973246,1.2190303796798918,4.987884032886196,0,0,0.904867,0.904867,2.272613,2.272613
picsum-3-p256-t1,256,1,412204,469776,1.1396687077272418,67.61908299995412,60.72200000016892,1.113584582190409,3.8887494772061904,0,0,0.935948,0.935948,3.379028,3.379028
picsum-4-p256-t1,256,1,417747,526333,1.259932447151027,71.46095799907926,65.9419160001562,1.0836955055857034,3.1042163882259346,0,0,0.964466,0.964466,3.715825,3.715825
picsum-5-p256-t1,256,1,419708,457862,1.0909060584978127,72.47445800021524,64.95870899925649,1.115700405946257,4.201028718388342,0,0,0.918577,0.918577,3.408642,3.408642
picsum-6-p256-t1,256,1,423888,528437,1.246642981164836,68.32283399853623,63.743417000296176,1.0718414106701994,2.955520254169976,0,0,0.984042,0.984042,3.414143,3.414143
picsum-7-p256-t1,256,1,597224,597025,0.9996667916895503,78.56670799992571,68.25754200144729,1.1510333612402837,4.8372434017595305,0,0,0.989824,0.989824,4.222558,4.222558
picsum-8-p256-t1,256,1,645045,518367,0.8036137013696719,64.3807079995895,50.98770800032071,1.2626711520193172,6.11797307996833,0,0,0.983225,0.983225,2.501664,2.501664
picsum-9-p256-t1,256,1,658399,507610,0.7709762621146143,66.34091600062675,53.32412499956263,1.2441069778673515,6.28254735993551,0,0,0.942225,0.942225,2.075916,2.075916
picsum-10-p256-t1,256,1,771227,581949,0.7545755011170512,69.99250000080792,49.42154200034565,1.4162346452143966,8.358719646799116,0,0,0.993826,0.993826,2.589923,2.589923
picsum-11-p256-t1,256,1,618539,481089,0.7777828075513428,59.1996660004952,46.00183299953642,1.2868979808063687,6.8370307167235485,0,0,0.995834,0.995834,1.85736,1.85736
picsum-12-p256-t1,256,1,646748,565252,0.8739911062732316,61.23858399951132,47.151665999990655,1.298757587897816,6.097570093457944,0,0,0.995081,0.995081,2.580513,2.580513
picsum-13-p256-t1,256,1,900514,588692,0.6537288704006823,90.60841700011224,58.53983399902063,1.5478078909760509,12.93204252088079,0,0,0.996527,0.996527,3.129617,3.129617
picsum-14-p256-t1,256,1,746996,510650,0.683604731484506,64.52283299950068,44.21054200065555,1.4594445143546066,9.203829787234042,0,0,0.997385,0.997385,2.148161,2.148161
