mode,label,source_format,work_format,scale_output_format,resize_mode,resize_input_format,loader_cms_target,loader_prefer_8bit,loader_pixelformat,ms_ssim,delta_e00_mean,delta_chroma_mean,gmsd,psnr_y,output_sha256,sixel_bytes,command,assessment_command
preserve,RGB888 preserve,rgb888,rgb888,rgb888,1,rgb888,,,,0.961644,9.971917,17.064587,0.000003,27.634640,10233e3eb980af089696aae5d59ec627748aff5b7e021f46be8147a4256a8d58,289,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' -w50% -rbilinear -jauto:resize_precision=preserve '{input}',{lsqa} -Woklab -Pfloat32 {reference} {output}
auto,automatic linear-f32,rgb888,rgb888,linear-f32,2,linear-f32,,,,0.999993,0.168512,0.265243,0.000009,63.330837,919c394c0a755e63e27eeabd669df7076c24f3027d085a209b7282eaec565092,289,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' -w50% -rbilinear '{input}',{lsqa} -Woklab -Pfloat32 {reference} {output}
float,float32 work path,rgb888,rgb-f32,linear-f32,3,linear-f32,,,,0.999993,0.168512,0.265243,0.000009,63.330837,919c394c0a755e63e27eeabd669df7076c24f3027d085a209b7282eaec565092,289,'{img2sixel}' --threads=1 --precision=8bit --quality=full '--loaders=builtin!' --sampling-policy=full-frame --binning-policy=hard --quantize-model=kmeans:seed=1:binbits=6 -Fnone -aoff -Xgamma -Wgamma --diffusion=none --gpu-policy=off --lookup-policy=none --palette-type=rgb -p 256 -o '{output}' -w50% -rbilinear -jauto:resize_precision=float '{input}',{lsqa} -Woklab -Pfloat32 {reference} {output}
