fixture,mode,threads,iteration,position,encode_ms,decode_ms
gray,high,1,4,7,0.257541,0.074
revisit,256-none,1,4,8,23.055,0.417958
revisit,256-fs,1,4,9,26.291375,1.010875
revisit,high,1,4,10,7.285584,2.6625
snake-fhd,256-none,1,4,11,104.329208,9.25475
snake-fhd,256-fs,1,4,12,189.861083,18.576625
snake-fhd,high,1,4,13,63.438959,15.206917
snake,256-none,1,4,14,27.821875,2.381708
snake,256-fs,1,4,15,45.942083,3.12225
snake,high,1,4,16,14.346542,3.596834
autumn,256-none,1,4,17,26.014,2.968375
autumn,256-fs,1,5,0,34.837083,3.281708
autumn,256-none,1,5,1,25.788875,2.917541
snake,high,1,5,2,14.411542,3.427167
snake,256-fs,1,5,3,47.658917,3.094
snake,256-none,1,5,4,26.947791,2.291583
snake-fhd,high,1,5,5,62.738292,14.505833
snake-fhd,256-fs,1,5,6,190.207208,18.875083
snake-fhd,256-none,1,5,7,112.010875,9.460417
revisit,high,1,5,8,7.156333,2.699083
revisit,256-fs,1,5,9,26.396584,1.030833
revisit,256-none,1,5,10,23.389708,0.466083
gray,high,1,5,11,0.289458,0.08025
gray,256-fs,1,5,12,1.2885,0.094125
gray,256-none,1,5,13,1.245334,0.09375
gradient,high,1,5,14,2.2725,0.975584
gradient,256-fs,1,5,15,44.133958,2.115166
gradient,256-none,1,5,16,15.83575,0.500042
autumn,high,1,5,17,15.155333,3.381959
gradient,256-none,1,6,0,15.892042,0.48375
gradient,256-fs,1,6,1,44.011459,2.122417
gradient,high,1,6,2,2.265583,0.856583
gray,256-none,1,6,3,1.392791,0.109291
gray,256-fs,1,6,4,1.265125,0.096292
gray,high,1,6,5,0.256708,0.078166
revisit,256-none,1,6,6,23.238459,0.410833
revisit,256-fs,1,6,7,26.269292,1.002791
revisit,high,1,6,8,7.051459,2.672666
snake-fhd,256-none,1,6,9,105.78475,9.291166
snake-fhd,256-fs,1,6,10,188.372292,19.114833
snake-fhd,high,1,6,11,63.282083,14.817375
snake,256-none,1,6,12,27.280958,2.342542
snake,256-fs,1,6,13,45.005125,3.199125
snake,high,1,6,14,14.672541,3.619917
autumn,256-none,1,6,15,25.292083,3.041375
autumn,256-fs,1,6,16,34.472417,3.220042
autumn,high,1,6,17,15.026708,3.326333
gradient,256-none,1,7,0,15.973417,0.524167
autumn,high,1,7,1,14.935041,3.414334
autumn,256-fs,1,7,2,34.385375,3.178
autumn,256-none,1,7,3,24.980291,2.878083
snake,high,1,7,4,14.163791,3.472875
snake,256-fs,1,7,5,46.051625,3.261042
snake,256-none,1,7,6,26.960375,2.301084
snake-fhd,high,1,7,7,63.665958,14.66075
snake-fhd,256-fs,1,7,8,189.234292,18.500042
snake-fhd,256-none,1,7,9,106.944666,9.532208
revisit,high,1,7,10,6.936333,2.59475
revisit,256-fs,1,7,11,26.367875,1.111792
revisit,256-none,1,7,12,23.022208,0.397209
gray,high,1,7,13,0.274792,0.073292
gray,256-fs,1,7,14,1.357833,0.092083
gray,256-none,1,7,15,1.24725,0.091208
gradient,high,1,7,16,2.354959,0.887459
gradient,256-fs,1,7,17,43.657584,2.120208
gradient,high,1,8,0,2.310292,0.888292
gray,256-none,1,8,1,1.330958,0.106833
gray,256-fs,1,8,2,1.280125,0.1105
gray,high,1,8,3,0.306584,0.078666
revisit,256-none,1,8,4,22.803542,0.437125
revisit,256-fs,1,8,5,26.412333,1.037209
revisit,high,1,8,6,7.002041,2.763041
snake-fhd,256-none,1,8,7,107.080416,9.601542
snake-fhd,256-fs,1,8,8,189.680292,18.354083
snake-fhd,high,1,8,9,63.021083,14.680375
snake,256-none,1,8,10,28.206792,2.226541
snake,256-fs,1,8,11,44.754333,3.1665
snake,high,1,8,12,14.383834,3.450375
autumn,256-none,1,8,13,24.992583,2.838875
autumn,256-fs,1,8,14,34.810417,3.121583
autumn,high,1,8,15,15.075209,3.2165
gradient,256-none,1,8,16,15.603125,0.488542
gradient,256-fs,1,8,17,43.792375,2.043375
gradient,high,1,9,0,2.304666,0.881625
gradient,256-fs,1,9,1,45.818416,2.008292
gradient,256-none,1,9,2,16.355833,0.48325
autumn,high,1,9,3,15.340542,3.291333
autumn,256-fs,1,9,4,34.890833,3.212083
autumn,256-none,1,9,5,25.668084,3.03325
snake,high,1,9,6,14.629666,3.41325
snake,256-fs,1,9,7,44.043375,3.039292
snake,256-none,1,9,8,26.743334,2.3525
snake-fhd,high,1,9,9,63.175959,14.769209
snake-fhd,256-fs,1,9,10,187.289333,19.209875
snake-fhd,256-none,1,9,11,108.176334,9.366834
revisit,high,1,9,12,6.97475,2.719875
revisit,256-fs,1,9,13,26.33125,1.014959
revisit,256-none,1,9,14,22.927542,0.405291
gray,high,1,9,15,0.268625,0.073583
gray,256-fs,1,9,16,1.224083,0.0905
gray,256-none,1,9,17,1.270708,0.094166
gray,256-fs,1,10,0,1.211459,0.090375
gray,high,1,10,1,0.260875,0.085584
revisit,256-none,1,10,2,22.832833,0.403417
revisit,256-fs,1,10,3,26.730667,1.051209
revisit,high,1,10,4,7.200625,2.6555
