fixture,mode,threads,iteration,position,encode_ms,decode_ms
gray,high,8,9,15,0.321125,0.252208
gray,256-fs,8,9,16,0.880875,0.241875
gray,256-none,8,9,17,0.752959,0.24325
gray,256-fs,8,10,0,0.785709,0.261417
gray,high,8,10,1,0.310584,0.271125
revisit,256-none,8,10,2,7.128709,0.39
revisit,256-fs,8,10,3,7.926959,0.765917
revisit,high,8,10,4,9.155667,3.254417
snake-fhd,256-none,8,10,5,35.571416,4.499125
snake-fhd,256-fs,8,10,6,61.985542,8.633917
snake-fhd,high,8,10,7,58.39575,17.378417
snake,256-none,8,10,8,10.972875,1.432375
snake,256-fs,8,10,9,15.628334,2.129666
snake,high,8,10,10,14.862417,4.449333
autumn,256-none,8,10,11,8.723916,1.766708
autumn,256-fs,8,10,12,9.992459,2.139542
autumn,high,8,10,13,15.696333,4.089584
gradient,256-none,8,10,14,4.582958,0.370459
gradient,256-fs,8,10,15,10.984458,1.065875
gradient,high,8,10,16,2.613875,1.004417
gray,256-none,8,10,17,0.832792,0.284792
